10
id tag_no yr mo day lat lon yr_rec mo_rec day_rec lat_rec lon_rec len_rel len_rec
53842 667 1992 10 12 37.5833 142.9167 1992 11 3 35 146.8333 46 44.8
54103 668 1992 10 12 37.4833 142.9167 1992 11 3 35.1167 142.8 44 45
53857 669 1992 10 12 37.5833 142.9167 1992 11 1 35.9333 146.2667 46 NA
54187 671 1992 10 12 37.4833 142.9167 1992 11 17 35 147.1667 44 47.8
53792 672 1992 10 12 37.5833 142.9167 1992 11 15 36.15 149.3833 46 44.5
53926 677 1992 10 12 37.4833 142.9167 1992 11 3 34.9333 146.9667 44 43.2
S8787 690 1992 1 31 6.25 144.35 1992 11 30 -4.0833 134.0667 42 56
ME30720 691 1992 11 19 8.3167 161.5333 1992 11 30 8.15 161.7833 73.0221 NA
ME30192 694 1992 11 18 9.5333 158.65 1992 11 26 8.7667 160.3833 65.7857 NA
ME30441 712 1992 11 18 9.5333 158.65 1992 11 29 8.3333 161.0167 71.3556 56
